availability_365,reviews_per_month,number_of_reviews,minimum_nights,calculated_host_listings_count,latitude,longitude,churned,room_type_Hotel room,room_type_Private room,room_type_Shared room,churn_predicted
135,0.57,75,31,2,45.50041,-73.55637,0,False,False,False,1
128,0.24,32,31,1,45.52499,-73.58691,0,False,False,False,1
306,0.63,67,2,2,45.56722,-73.577,0,False,False,False,0
352,0.57,68,2,1,45.52702,-73.58339,0,False,False,False,0
0,0.16,21,180,1,45.50134,-73.55639,1,False,False,False,1
353,1.27,168,180,1,45.59586,-73.548,0,False,False,False,0
57,1.3,147,31,2,45.50444,-73.55426,0,False,False,False,1
27,0.6,85,28,1,45.5202,-73.56335,0,False,False,False,1
0,0.46,65,2,2,45.52186,-73.58207,1,False,True,False,1
239,0.12,14,32,1,45.55209732055664,-73.59619903564453,0,False,False,False,1
92,0.3,39,31,1,45.53017,-73.5611,0,False,False,False,1
284,0.14,12,31,1,45.5461,-73.54263,0,False,False,False,0
329,0.24,35,31,1,45.54934,-73.58532,0,False,False,False,0
192,0.29,33,31,1,45.52797,-73.57446,0,False,False,False,1
2,0.01,1,32,8,45.44955,-73.59633,0,False,False,False,1
0,1.42,208,31,1,45.53931,-73.59157,1,False,False,False,1
144,0.27,29,31,3,45.54245,-73.61908,0,False,False,False,1
180,0.06,8,31,6,45.49072,-73.56627,0,False,True,False,1
264,0.07,10,31,6,45.49462,-73.56486,0,False,True,False,1
271,0.94,130,2,1,45.5578,-73.53967,0,False,False,False,0
155,0.28,40,32,2,45.53571,-73.56806,0,False,False,False,1
188,0.44,65,40,5,45.45225,-73.60177,0,False,False,False,1
105,0.27,39,32,2,45.55459,-73.59638,0,False,False,False,1
164,0.31,43,32,2,45.53377,-73.56627,0,False,False,False,1
262,0.58,82,2,2,45.56708999592573,-73.5769327915763,0,False,False,False,0
298,0.16,23,45,5,45.52993,-73.61427,0,False,False,False,0
273,0.2,29,31,8,45.51812,-73.59068,0,False,False,False,0
126,0.25,36,31,1,45.52205,-73.5993,0,False,False,False,1
0,0.99,129,31,2,45.52169,-73.58807,1,False,True,False,1
143,0.07,10,90,1,45.53506,-73.60639,0,False,False,False,1
195,0.16,23,31,1,45.5216,-73.59065,0,False,False,False,1
207,1.86,27,3,1,45.48743,-73.58644,0,False,False,False,0
364,0.31,44,31,1,45.52202,-73.57864,0,False,True,False,0
121,0.94,135,32,1,45.52152,-73.56156,0,False,False,False,1
