availability_365,reviews_per_month,number_of_reviews,minimum_nights,calculated_host_listings_count,latitude,longitude,churned,room_type_Hotel room,room_type_Private room,room_type_Shared room,churn_predicted
357,3.12,220,3,6,45.50998,-73.56932,0,False,False,False,0
117,1.15,85,31,1,45.49085,-73.57584,0,False,False,False,1
356,1.12,79,2,18,45.54377,-73.5426,0,False,False,False,0
0,1.15,84,1,24,45.52552,-73.58592,1,False,False,False,1
100,0.67,47,3,1,45.45443,-73.5743,0,False,False,False,1
0,4.56,325,2,2,45.49828,-73.55727,1,False,False,False,0
101,0.12,9,31,1,45.51723,-73.60006,0,False,False,False,1
76,2.99,219,2,1,45.57393,-73.54964,0,False,False,False,0
25,0.36,14,2,1,45.533,-73.60026,0,False,False,False,1
338,1.87,134,2,9,45.54689025878906,-73.62621307373047,0,False,False,False,0
180,1.92,138,32,4,45.50617,-73.67767,0,False,True,False,0
2,0.02,1,32,1,45.52184,-73.57829,0,False,False,False,1
107,0.11,8,31,55,45.53602,-73.60375,0,False,False,False,1
171,0.03,1,31,7,45.514556884765625,-73.56873321533203,0,False,True,False,1
258,0.08,4,31,7,45.514556884765625,-73.56873321533203,0,False,True,False,1
264,0.43,24,31,7,45.514556884765625,-73.56873321533203,0,False,True,False,0
248,0.06,2,31,7,45.514556884765625,-73.56873321533203,0,False,True,False,1
56,0.97,69,31,2,45.529,-73.5593,0,False,True,False,1
192,1.19,78,31,1,45.54751,-73.55249,0,False,False,False,0
72,2.97,213,2,3,45.529072,-73.579018,0,False,False,False,0
357,1.34,93,3,2,45.47169,-73.6653,0,False,False,False,0
365,0.04,3,90,1,45.49628,-73.59477,0,False,True,False,0
191,0.95,65,3,1,45.57973,-73.55751,0,False,False,False,0
34,3.78,269,2,1,45.49346,-73.58236,0,False,False,False,0
176,4.16,294,2,2,45.49828,-73.55727,0,False,False,False,0
178,0.2,7,32,1,45.46754,-73.5408,0,False,True,False,1
256,0.0,0,31,7,45.51435089111328,-73.56888580322266,1,False,True,False,1
256,0.07,5,31,7,45.51435089111328,-73.56888580322266,0,False,True,False,1
35,0.05,2,31,2,45.55764,-73.5702,0,False,False,False,1
0,0.94,66,31,1,45.51106211582829,-73.5626202021062,1,False,False,False,1
353,0.96,68,4,1,45.46067,-73.65665,0,False,False,False,0
153,1.24,88,31,31,45.48267,-73.58275,0,False,False,False,0
206,1.15,79,31,2,45.54019,-73.61201,0,False,False,False,0
167,2.32,152,2,1,45.52161,-73.60134,0,False,False,False,0
148,0.71,49,31,6,45.59503,-73.58354,0,False,False,False,0
54,0.94,30,2,2,45.53207,-73.60243,0,False,True,False,1
179,0.57,40,31,1,45.47937,-73.57618,0,False,False,False,1
0,0.31,22,31,1,45.52095327257771,-73.58514857861591,1,False,False,False,1
106,1.73,123,7,5,45.51892,-73.57688,0,False,True,False,0
361,1.11,79,2,47,45.4954556,-73.5756573,0,False,False,False,0
344,1.1,80,2,47,45.4954556,-73.5756573,0,False,False,False,0
360,1.2,87,2,47,45.4954556,-73.5756573,0,False,False,False,0
360,1.18,86,2,47,45.4954556,-73.5756573,0,False,False,False,0
364,0.95,69,2,47,45.4954556,-73.5756573,0,False,False,False,0
361,0.88,64,2,47,45.4954556,-73.5756573,0,False,False,False,0
0,1.03,74,7,1,45.54319,-73.63748,1,False,False,False,1
115,1.36,99,31,1,45.53194,-73.60438,0,False,False,False,0
256,0.75,54,31,24,45.50802,-73.55332,0,True,False,False,0
68,0.17,12,31,2,45.46357,-73.57049,0,False,False,False,1
349,1.2,87,31,47,45.5296002,-73.5772819,0,False,False,False,0
356,0.91,66,31,47,45.5296114,-73.5775318,0,False,False,False,0
0,0.26,19,90,2,45.54547,-73.54873,1,False,False,False,1
180,2.17,158,31,2,45.50761,-73.56993,0,False,True,False,0
211,0.11,5,31,89,45.45920944213867,-73.59706115722656,0,False,False,False,1
0,0.0,0,31,89,45.50779342651367,-73.57394409179688,1,False,False,False,1
255,0.18,8,31,89,45.5418713,-73.6042981,0,False,False,False,1
336,0.2,3,31,89,45.51868,-73.56438,0,False,False,False,0
218,0.09,1,31,89,45.5206756,-73.5864247,0,False,False,False,1
106,0.0,0,31,89,45.4585805,-73.5678573,1,False,False,False,1
189,0.06,4,31,89,45.49263381958008,-73.57518005371094,0,False,False,False,1
313,0.03,1,32,89,45.48873,-73.62799,0,False,False,False,1
181,0.0,0,31,89,45.532677,-73.599292,1,False,False,False,1
255,0.08,2,31,89,45.45162963867188,-73.58242797851562,0,False,False,False,1
294,0.09,3,31,89,45.547654,-73.5772789,0,False,False,False,1
364,0.02,1,31,89,45.52777862548828,-73.58380126953125,0,False,False,False,0
364,0.0,0,31,89,45.49614,-73.57044,1,False,False,False,0
218,0.0,0,31,89,45.55189895629883,-73.602294921875,1,False,False,False,1
1,0.02,1,31,89,45.50537,-73.55817,0,False,False,False,1
362,0.41,28,3,1,45.48885,-73.58827,0,False,False,False,0
160,2.25,162,2,23,45.50671,-73.55513,0,False,False,False,0
178,0.13,9,31,1,45.52618,-73.59803,0,False,True,False,1
139,0.53,38,31,3,45.53736,-73.55263,0,False,False,False,1
54,3.09,218,31,2,45.52224,-73.56754,0,False,False,False,0
314,0.2,14,31,24,45.50615877935443,-73.55429386486077,0,True,False,False,0
297,0.4,29,31,3,45.46871,-73.61663,0,False,False,False,0
134,0.11,7,60,1,45.52937,-73.57352,0,False,False,False,1
56,0.63,44,31,1,45.50995,-73.67199,0,False,False,False,1
100,2.09,151,3,1,45.469,-73.62548,0,False,False,False,0
116,0.13,9,2,2,45.5453,-73.54895,0,False,False,False,1
35,0.12,8,32,22,45.49684,-73.56996,0,False,False,False,1
205,2.34,163,2,4,45.52123,-73.57748,0,False,False,False,0
365,0.6,41,31,7,45.51627,-73.55825,0,False,False,False,0
364,0.0,0,85,8,45.45898,-73.5886,1,False,True,False,0
266,0.56,39,1,11,45.51996,-73.58394,0,False,False,False,0
259,1.48,101,1,1,45.52835,-73.55352,0,False,True,False,0
305,0.96,69,2,8,45.55095,-73.53907,0,False,True,False,0
242,0.1,7,1,24,45.50826,-73.55387,0,True,False,False,0
304,0.08,6,31,24,45.5076,-73.55252,0,True,False,False,0
307,0.07,5,1,24,45.5061333400287,-73.55335482812228,0,True,False,False,0
257,0.03,2,1,24,45.50744,-73.55466,0,True,False,False,0
272,0.07,5,1,24,45.50651,-73.5528,0,True,False,False,0
203,3.98,287,1,31,45.49439,-73.61022,0,False,False,False,0
64,0.04,3,31,1,45.43969,-73.66588,0,False,False,False,1
271,0.22,15,31,5,45.4525,-73.59956,0,False,False,False,1
0,0.17,12,31,2,45.51747,-73.57282,1,False,False,False,1
2,0.66,47,32,1,45.44324,-73.67908,0,False,False,False,1
193,0.16,9,31,7,45.514556884765625,-73.56873321533203,0,False,True,False,1
359,0.63,45,2,8,45.55279,-73.54035,0,False,True,False,0
178,0.11,8,31,55,45.53773,-73.60438,0,False,False,False,1
5,0.94,68,32,1,45.46341,-73.657,0,False,False,False,1
275,2.88,204,3,6,45.50357,-73.55734,0,False,False,False,0
315,0.0,0,31,4,45.53226,-73.61216,1,False,False,False,0
351,0.1,7,31,1,45.60677,-73.54559,0,False,False,False,0
180,1.82,131,32,4,45.50768,-73.67629,0,False,True,False,0
330,0.09,6,2,8,45.55103,-73.54012,0,False,True,False,0
96,0.06,4,90,11,45.59508,-73.54902,0,False,False,False,1
321,1.5,108,2,9,45.54689,-73.626213,0,False,False,False,0
319,2.25,161,2,9,45.54689025878906,-73.62621307373047,0,False,False,False,0
348,2.12,152,2,9,45.54658,-73.62711,0,False,False,False,0
299,3.72,264,1,7,45.52082,-73.57902,0,False,True,False,0
87,0.19,13,31,1,45.51956,-73.55073,0,False,True,False,1
40,2.89,200,1,3,45.51423,-73.57299,0,False,False,False,0
2,1.38,95,1,3,45.51423,-73.57299,0,False,False,False,1
0,0.22,15,31,2,45.61221,-73.55166,1,False,False,False,1
2,0.95,64,1,8,45.48865509033203,-73.56739807128906,0,False,False,False,1
39,0.0,0,32,3,45.4803,-73.64278,1,False,False,False,1
226,0.0,0,31,1,45.517876118762025,-73.59433579444884,1,False,False,False,1
276,0.54,37,1,8,45.48969,-73.56834,0,False,False,False,0
298,0.62,43,1,8,45.48865509033203,-73.56739807128906,0,False,False,False,0
315,0.74,50,1,8,45.48865509033203,-73.56739807128906,0,False,False,False,0
77,1.71,121,7,5,45.52055,-73.57607,0,False,True,False,0
73,1.91,135,7,5,45.51984,-73.57662,0,False,True,False,0
0,0.63,44,6,1,45.6108,-73.618,1,False,False,False,1
179,0.57,40,32,1,45.51693,-73.68912,0,False,False,False,0
0,5.31,373,2,1,45.48711,-73.58621,1,False,False,False,0
309,0.09,4,60,4,45.44928,-73.58395,0,False,True,False,1
2,0.06,4,32,1,45.48577,-73.62988,0,False,False,False,1
72,2.14,152,7,5,45.51867,-73.57698,0,False,True,False,0
65,0.62,44,31,2,45.529373,-73.565323,0,False,True,False,1
0,2.2,156,1,21,45.51472,-73.57236,1,False,False,False,0
117,1.19,84,2,1,45.53661,-73.558464,0,False,False,False,0
365,0.07,3,32,40,45.49357,-73.62562,0,False,False,False,0
358,0.12,8,31,3,45.53106,-73.58404,0,False,False,False,0
0,0.03,2,32,1,45.52428,-73.59331,1,False,False,False,1
178,0.47,33,31,1,45.52314,-73.57917,0,False,True,False,1
316,0.96,66,4,6,45.47060170313845,-73.64182909804352,0,False,False,False,0
214,0.16,11,60,1,45.52301,-73.60793,0,False,False,False,1
194,4.14,292,1,31,45.49549866,-73.60919952,0,False,False,False,0
273,0.86,60,31,1,45.47376,-73.58685,0,False,False,False,0
56,0.46,1,1,5,45.53032,-73.56874,0,False,True,False,1
119,0.43,15,31,19,45.46122,-73.59599,0,False,False,False,1
39,0.03,2,40,1,45.53418,-73.61727,0,False,False,False,1
203,3.44,242,1,3,45.51993,-73.56708,0,False,False,False,0
169,3.33,235,1,3,45.51957,-73.56754,0,False,False,False,0
0,0.08,5,31,1,45.54766,-73.6184,1,False,False,False,1
136,0.66,46,31,2,45.529423,-73.565437,0,False,True,False,1
338,0.27,19,31,30,45.54567,-73.53885,0,False,True,False,0
21,0.24,17,31,1,45.53365,-73.57041,0,False,True,False,1
89,0.15,10,31,1,45.52845,-73.6116,0,False,False,False,1
89,0.24,8,31,1,45.50678,-73.55484,0,False,False,False,1
355,0.59,41,2,18,45.53588,-73.55852,0,False,False,False,0
92,0.1,7,32,3,45.4517,-73.63827,0,False,True,False,1
12,0.21,14,31,2,45.5102,-73.62719,0,False,False,False,1
159,0.48,33,31,1,45.64048,-73.49402,0,False,False,False,1
0,0.81,56,31,2,45.4329,-73.62586,1,False,False,False,1
250,0.0,0,180,1,45.44035,-73.74621,1,False,False,False,1
2,0.16,11,31,1,45.51981,-73.56689,0,False,False,False,1
180,0.09,4,31,69,45.51281,-73.57024,0,False,False,False,1
1,0.18,12,32,1,45.52016,-73.55187,0,False,False,False,1
362,0.27,19,32,1,45.52506,-73.58893,0,False,True,False,0
180,1.71,120,32,4,45.50739,-73.6758,0,False,True,False,0
299,1.3,91,31,1,45.54731,-73.63326,0,False,False,False,0
251,0.36,25,31,1,45.54859,-73.57806,0,False,False,False,0
172,0.12,8,1,5,45.52898,-73.56686,0,False,True,False,1
246,0.22,13,31,2,45.45393,-73.583,0,False,False,False,1
261,3.81,267,1,31,45.49473625686195,-73.61003214416918,0,False,False,False,0
270,1.14,79,32,1,45.48165,-73.58128,0,False,False,False,0
344,0.89,61,31,21,45.52539,-73.60747,0,False,False,False,0
79,0.83,58,1,4,45.56368,-73.66316,0,False,False,False,1
0,0.22,15,5,3,45.53349,-73.6001,1,False,False,False,1
271,0.2,14,1,8,45.48776,-73.5675,0,False,False,False,0
191,0.23,14,31,2,45.57052,-73.54124,0,False,False,False,1
337,1.52,104,31,47,45.5143703,-73.5718405,0,False,False,False,0
334,1.51,101,2,47,45.4954556,-73.5756573,0,False,False,False,0
48,0.2,13,31,1,45.57154,-73.53624,0,False,False,False,1
0,2.52,172,1,1,45.5298,-73.57725,1,False,True,False,0
180,0.3,20,31,1,45.49486,-73.56772,0,False,False,False,1
2,0.0,0,31,1,45.49408170343288,-73.55575392586512,1,False,False,False,1
7,0.94,65,31,1,45.5939,-73.62837,0,False,False,False,1
57,2.52,172,3,3,45.52227,-73.57965,0,False,False,False,0
365,0.87,59,31,47,45.5143703,-73.5718405,0,False,False,False,0
109,0.89,61,32,1,45.55584,-73.64445,0,False,False,False,0
0,0.59,40,31,1,45.55063,-73.54016,1,False,False,False,1
0,0.26,18,31,1,45.551677620885016,-73.54041382365703,1,False,False,False,1
12,2.39,164,1,21,45.51264,-73.57133,0,False,False,False,0
112,2.77,186,1,21,45.51236,-73.57076,0,False,False,False,0
221,2.04,140,3,2,45.55025514066571,-73.67831052857446,0,False,False,False,0
2,0.05,1,31,2,45.54906440000001,-73.6770541,0,False,False,False,1
71,0.92,31,31,1,45.48229778368077,-73.62602580428658,0,False,False,False,1
345,0.62,43,31,9,45.53684,-73.55555,0,False,False,False,0
326,3.35,234,31,37,45.51825,-73.57101,0,False,False,False,0
337,3.76,262,31,37,45.51825,-73.57101,0,False,False,False,0
114,1.34,92,31,2,45.51803207397461,-73.55796813964844,0,False,False,False,0
90,0.23,16,32,1,45.47464,-73.61101,0,False,True,False,1
87,1.06,74,31,2,45.4277,-73.66316,0,False,False,False,1
325,1.42,99,2,72,45.53166,-73.60956,0,False,False,False,0
269,0.2,14,31,13,45.59794,-73.51295,0,False,True,False,0
0,0.5,35,3,1,45.46943,-73.60997,1,False,False,False,1
87,1.1,77,31,2,45.49691,-73.63175,0,False,False,False,1
155,0.37,25,32,8,45.45755,-73.5977,0,False,False,False,1
40,1.09,76,3,1,45.54056,-73.64854,0,False,False,False,1
89,0.29,20,31,2,45.51973,-73.55478,0,False,False,False,1
365,0.11,7,31,4,45.50678,-73.68698,0,False,False,False,0
174,0.27,19,1,5,45.52883,-73.56832,0,False,True,False,1
208,0.6,41,31,1,45.49254,-73.55907,0,False,False,False,1
82,1.68,117,2,1,45.42704,-73.66261,0,False,False,False,0
0,0.73,51,31,2,45.44065,-73.66915,1,False,False,False,1
274,0.25,16,180,18,45.52262,-73.59623,0,False,False,False,1
152,1.9,132,2,1,45.53439,-73.59676,0,False,False,False,0
0,0.13,9,31,1,45.50562,-73.56871,1,False,False,False,1
56,0.0,0,31,4,45.51557019165643,-73.57081096619368,1,False,False,False,1
354,0.72,49,3,1,45.48487,-73.59844,0,False,False,False,0
259,0.06,4,31,2,45.49218,-73.64155,0,False,True,False,1
88,0.04,3,31,1,45.44772,-73.58262,0,False,True,False,1
2,0.13,9,31,1,45.5222,-73.61499,0,False,False,False,1
249,0.0,0,180,1,45.51584,-73.5569,1,False,False,False,1
250,0.13,7,31,1,45.55179,-73.57792,0,False,False,False,1
275,1.27,57,2,3,45.51719,-73.58115,0,False,False,False,0
89,0.06,3,32,22,45.49493,-73.57088,0,False,False,False,1
30,0.36,7,31,1,45.49670894881857,-73.57031509280205,0,False,False,False,1
257,3.08,213,1,3,45.51852,-73.56642,0,False,False,False,0
135,0.3,20,32,1,45.46429,-73.64163,0,False,False,False,1
350,0.9,62,4,6,45.473085929995655,-73.6416293597882,0,False,False,False,0
350,0.91,63,4,6,45.470805805510125,-73.64323589086406,0,False,False,False,0
312,3.8,263,1,11,45.50431,-73.55518,0,False,False,False,0
248,1.56,108,2,3,45.52695,-73.58597,0,False,False,False,0
240,1.03,71,31,1,45.51873,-73.59568,0,False,True,False,0
328,0.57,36,1,28,45.49491,-73.57972,0,False,False,False,0
364,0.42,29,31,2,45.52445,-73.67763,0,False,True,False,0
87,0.46,31,90,2,45.49446,-73.55784,0,False,False,False,1
365,0.14,1,32,2,45.58666,-73.53965,0,False,True,False,0
285,1.78,121,1,5,45.4792,-73.5687,0,False,False,False,0
325,1.21,77,1,28,45.49491,-73.57972,0,False,False,False,0
287,2.09,142,1,5,45.479198,-73.568695,0,False,False,False,0
2,1.16,79,1,5,45.47961,-73.56788,0,False,False,False,1
282,1.45,92,1,5,45.47855,-73.56773,0,False,False,False,0
306,0.46,29,1,28,45.49491,-73.57972,0,False,False,False,0
342,0.25,15,1,28,45.49491,-73.57971,0,False,False,False,0
334,0.36,23,1,28,45.49386,-73.58038,0,False,False,False,0
340,1.72,113,1,28,45.49491,-73.57971,0,False,False,False,0
318,0.39,25,1,28,45.49416,-73.58057,0,False,False,False,0
339,0.49,32,1,28,45.49546,-73.57893,0,False,False,False,0
313,0.22,14,1,28,45.49491,-73.57971,0,False,False,False,0
350,0.27,17,1,28,45.49491,-73.57971,0,False,False,False,0
316,0.25,16,1,28,45.49409,-73.57887,0,False,False,False,0
298,1.73,114,1,6,45.49975,-73.57355,0,False,False,False,0
306,1.05,68,1,28,45.49491,-73.57971,0,False,False,False,0
314,1.21,79,1,6,45.49888,-73.57405,0,False,False,False,0
2,1.16,74,1,6,45.49883,-73.57436,0,False,False,False,1
2,1.05,69,1,28,45.49491,-73.57971,0,False,False,False,1
335,1.44,97,1,28,45.49491,-73.57971,0,False,False,False,0
15,0.06,4,32,1,45.42775,-73.83467,0,False,False,False,1
2,0.03,2,90,11,45.59551,-73.54855,0,False,False,False,1
0,0.19,2,32,1,45.49220275878906,-73.62847900390625,1,False,False,False,1
22,2.18,149,2,1,45.54354,-73.55586,0,False,False,False,0
313,0.88,60,1,28,45.49491,-73.57971,0,False,False,False,0
326,1.47,100,1,28,45.4958,-73.57958,0,False,False,False,0
314,0.75,51,1,28,45.49366,-73.57881,0,False,False,False,0
321,0.85,55,1,28,45.49429,-73.57902,0,False,False,False,0
2,0.88,60,1,28,45.49574,-73.58079,0,False,False,False,1
217,0.25,17,90,3,45.52523,-73.62424,0,False,False,False,1
1,1.0,19,2,2,45.52399,-73.58139,0,False,False,False,1
82,2.27,155,3,3,45.52153434279413,-73.58068821576268,0,False,False,False,0
191,0.31,10,32,2,45.56222,-73.57353,0,False,False,False,1
365,0.0,0,31,2,45.48769,-73.62701,1,False,True,False,0
364,0.22,14,31,1,45.49607,-73.5671,0,False,False,False,0
314,0.09,2,1,6,45.5006,-73.57251,0,False,False,False,0
288,0.05,3,1,6,45.499748,-73.573547,0,False,False,False,0
0,0.35,22,32,2,45.52983,-73.55464,1,False,False,False,1
142,0.36,24,32,2,45.52976,-73.55264,0,False,False,False,1
271,2.29,156,31,4,45.5494,-73.54851,0,False,False,False,0
59,1.36,92,31,1,45.56903,-73.5817,0,False,False,False,0
356,0.55,37,31,1,45.5091,-73.57174,0,False,True,False,0
342,0.08,5,31,2,45.49267,-73.56267,0,False,False,False,0
195,0.34,22,31,6,45.52038,-73.58008,0,False,False,False,1
365,0.11,7,31,69,45.53631,-73.60571,0,False,False,False,0
265,1.13,71,31,4,45.51011,-73.56907,0,False,False,False,0
197,1.08,73,3,4,45.50435,-73.55787,0,False,False,False,0
2,1.35,92,31,31,45.48247,-73.58494,0,False,False,False,1
247,0.35,3,31,1,45.53409322861062,-73.56459576343974,0,False,False,False,0
19,2.56,174,31,1,45.52489,-73.62462,0,False,False,False,0
363,0.0,0,32,1,45.63567,-73.49214,1,False,True,False,0
45,1.81,123,2,1,45.48082,-73.5667,0,False,False,False,0
172,0.4,27,1,6,45.51638,-73.57968,0,False,False,False,1
0,0.42,29,1,1,45.52156,-73.58177,1,False,False,False,1
90,0.0,0,60,1,45.49996,-73.58063,1,False,False,False,1
169,1.07,72,1,6,45.51627,-73.58171,0,False,False,False,0
189,1.15,78,1,6,45.51603,-73.57972,0,False,False,False,0
358,0.19,8,31,3,45.57453,-73.57256,0,False,False,False,0
56,0.04,3,31,7,45.58394,-73.57363,0,False,True,False,1
148,2.2,150,2,1,45.5748,-73.58915,0,False,False,False,0
364,0.12,8,31,1,45.51473,-73.57484,0,False,False,False,0
327,0.57,39,31,1,45.51868,-73.59758,0,False,False,False,0
244,2.71,184,31,3,45.518192291259766,-73.56520080566406,0,False,False,False,0
278,0.27,17,32,1,45.45108,-73.58305,0,False,False,False,1
39,0.1,4,31,3,45.49537,-73.56811,0,False,False,False,1
142,6.0,39,1,1,45.55416,-73.65957,0,False,False,False,0
0,0.05,3,31,1,45.52962,-73.54949,1,False,False,False,1
365,0.27,18,32,2,45.53192,-73.54986,0,False,True,False,0
70,2.7,180,31,4,45.52078,-73.57791,0,False,False,False,0
0,0.75,51,32,1,45.54169,-73.63229,1,False,False,False,1
364,0.0,0,62,8,45.45717,-73.5866,1,False,True,False,0
32,0.2,11,31,4,45.55174,-73.57795,0,False,False,False,1
310,0.18,12,32,1,45.54016,-73.63534,0,False,False,False,0
0,2.0,134,2,1,45.47608,-73.62317,1,False,False,False,0
45,1.33,89,2,1,45.63428,-73.58523,0,False,True,False,0
11,2.21,149,1,21,45.51172,-73.57028,0,False,False,False,0
81,1.73,117,7,5,45.52042,-73.57765,0,False,True,False,0
270,1.46,99,31,6,45.50332,-73.55803,0,False,False,False,0
249,2.45,165,31,3,45.518192291259766,-73.56520080566406,0,False,False,False,0
340,0.5,34,32,4,45.53724,-73.61507,0,False,False,False,0
48,0.54,36,31,1,45.55902,-73.59502,0,False,True,False,1
88,0.43,29,31,1,45.53524,-73.55701,0,False,False,False,1
107,0.16,7,31,130,45.53561,-73.6049,0,False,False,False,1
56,0.25,17,31,1,45.69995,-73.48163,0,False,False,False,1
61,0.83,56,1,2,45.56185,-73.66305,0,False,False,False,1
0,1.02,69,2,1,45.53362,-73.58098,1,False,False,False,1
16,0.12,8,4,1,45.52653,-73.60611,0,False,False,False,1
2,1.22,82,1,1,45.60754,-73.63361,0,False,False,False,1
341,0.97,64,31,21,45.52488,-73.60788,0,False,False,False,0
178,0.32,21,32,3,45.47028,-73.60458,0,False,False,False,1
338,0.27,18,32,4,45.44417,-73.84631,0,False,True,False,0
87,2.72,183,1,2,45.5882,-73.58057,0,False,False,False,0
0,0.92,62,31,8,45.43387,-73.64203,1,False,False,False,1
80,0.22,14,32,1,45.50713,-73.5748,0,False,False,False,1
363,0.04,1,32,1,45.49288,-73.57452,0,False,False,False,0
264,0.36,24,31,1,45.46433,-73.64121,0,False,False,False,0
333,0.34,23,32,4,45.44432,-73.84463,0,False,True,False,0
250,0.03,2,31,4,45.50484,-73.68649,0,False,False,False,1
174,0.08,5,32,3,45.45127,-73.63858,0,False,True,False,1
292,2.03,134,3,2,45.44547,-73.65398,0,False,False,False,0
4,0.2,11,31,1,45.5362,-73.60838,0,False,False,False,1
71,2.56,171,6,4,45.52251,-73.58299,0,False,False,False,0
339,2.24,139,2,72,45.53292,-73.61407,0,False,False,False,0
340,2.84,178,2,72,45.53145,-73.61439,0,False,False,False,0
333,1.84,116,2,72,45.53192,-73.6142,0,False,False,False,0
364,0.2,13,31,1,45.58033012283874,-73.52041053717653,0,False,False,False,0
352,1.7,107,2,72,45.5331,-73.61387,0,False,False,False,0
356,2.39,151,2,72,45.5315,-73.61235,0,False,False,False,0
309,0.05,3,31,5,45.53614,-73.56291,0,False,True,False,0
115,3.56,231,1,46,45.50317464680732,-73.56676529051356,0,False,False,False,0
279,2.11,65,3,1,45.52668,-73.58453,0,False,False,False,0
77,2.59,172,31,4,45.52265,-73.57796,0,False,False,False,0
63,1.35,90,31,8,45.43391,-73.6439,0,False,False,False,1
10,1.56,104,5,1,45.5248,-73.58217,0,False,False,False,1
210,0.67,37,1,15,45.500997,-73.555972,0,False,False,True,0
199,0.84,52,1,15,45.500997,-73.555972,0,False,False,True,0
210,0.57,37,1,15,45.500997,-73.555972,0,False,False,True,0
179,0.17,11,32,18,45.4218,-73.88238,0,False,True,False,1
196,0.31,19,32,1,45.49456,-73.5676,0,False,False,False,1
309,0.5,33,31,9,45.539227,-73.612442,0,False,False,False,0
260,3.17,210,2,31,45.49558258,-73.6102829,0,False,False,False,0
268,2.76,184,1,5,45.54011,-73.61147,0,False,False,False,0
212,3.39,226,1,5,45.54125,-73.61123,0,False,False,False,0
278,2.85,189,1,5,45.54105,-73.61143,0,False,False,False,0
345,0.88,54,2,8,45.55231,-73.53874,0,False,True,False,0
325,0.11,7,31,1,45.49675750732422,-73.56858825683594,0,False,False,False,0
0,0.35,23,32,1,45.43568,-73.63103,1,False,False,False,1
43,0.36,23,31,3,45.5189,-73.60853,0,False,False,False,1
324,4.12,274,1,1,45.49095,-73.58079,0,False,False,False,0
99,3.62,240,2,4,45.495,-73.58273,0,False,False,False,0
0,0.08,5,32,18,45.42231,-73.88408,1,False,True,False,1
0,0.11,7,31,18,45.42042,-73.88238,1,False,True,False,1
179,0.04,1,32,18,45.42188,-73.88424,0,False,True,False,1
365,0.0,0,32,1,45.49192,-73.57636,1,False,False,False,0
230,3.44,228,2,1,45.49334,-73.57751,0,False,False,False,0
254,4.78,316,31,8,45.52363,-73.59139,0,False,False,False,0
100,0.08,5,183,1,45.49653,-73.57211,0,False,False,False,1
215,1.0,66,31,1,45.4786,-73.58963,0,False,True,False,0
365,0.03,2,31,2,45.48762,-73.62557,0,False,True,False,0
340,0.16,5,32,4,45.44418884541476,-73.84452299477707,0,False,True,False,0
0,0.33,22,32,1,45.52771,-73.60193,1,False,False,False,1
46,2.35,155,31,21,45.52315,-73.58423,0,False,False,False,0
363,0.19,12,32,1,45.4947,-73.56805,0,False,False,False,0
67,2.06,136,31,1,45.50943,-73.57176,0,False,False,False,0
306,0.81,53,1,28,45.49452,-73.58054,0,False,False,False,0
314,0.35,22,1,28,45.49575,-73.57896,0,False,False,False,0
0,4.34,287,31,8,45.52326,-73.59129,1,False,False,False,0
281,3.68,243,1,8,45.52143,-73.59152,0,False,False,False,0
253,5.55,367,31,8,45.52141,-73.59296,0,False,False,False,0
268,4.3,283,31,8,45.52368,-73.59148,0,False,False,False,0
0,4.45,294,31,8,45.52134,-73.59133,1,False,False,False,0
264,4.34,287,31,8,45.52151,-73.5914,0,False,False,False,0
0,3.18,210,31,8,45.5219,-73.5909,1,False,False,False,0
0,1.58,50,31,1,45.57421,-73.54852,1,False,False,False,1
119,0.36,16,31,3,45.57511,-73.54873,0,False,False,False,1
180,1.09,72,32,4,45.50576,-73.67587,0,False,True,False,0
2,0.37,21,20,1,45.4796,-73.5845,0,False,False,False,1
10,2.83,185,31,3,45.54935,-73.65608,0,False,True,False,0
348,2.35,153,2,72,45.53163,-73.61254,0,False,False,False,0
349,2.25,146,2,72,45.53254,-73.61438,0,False,False,False,0
343,3.41,221,2,72,45.53312,-73.61285,0,False,False,False,0
342,2.42,157,2,72,45.53142,-73.61444,0,False,False,False,0
332,2.43,156,2,72,45.53165,-73.6124,0,False,False,False,0
344,2.68,175,2,72,45.53249,-73.6144,0,False,False,False,0
327,2.15,141,2,72,45.53122,-73.61427,0,False,False,False,0
344,1.99,129,2,72,45.53185,-73.61421,0,False,False,False,0
144,5.0,328,2,3,45.56017,-73.66715,0,False,False,False,0
0,0.38,25,31,2,45.61576,-73.5528,1,False,False,False,1
0,0.49,32,31,1,45.539,-73.55144,1,False,False,False,1
0,0.05,2,31,1,45.52446,-73.5569,1,False,True,False,1
87,0.51,33,2,1,45.47771,-73.56429,0,False,True,False,1
280,0.0,0,31,1,45.45478,-73.5663,1,False,False,False,1
145,0.07,3,31,1,45.49203,-73.5757,0,False,False,False,1
246,3.04,198,1,10,45.52224,-73.574036,0,False,False,False,0
2,0.87,57,31,47,45.5143703,-73.5718405,0,False,False,False,1
0,5.25,343,1,1,45.52227,-73.57645,1,False,False,False,0
63,0.61,40,31,4,45.483,-73.56661,0,False,False,False,1
85,3.11,204,2,3,45.55817,-73.66507,0,False,False,False,0
0,4.96,172,2,2,45.49229,-73.57522,1,False,False,False,0
87,0.0,0,31,1,45.52573,-73.60567,1,False,False,False,1
31,4.74,309,32,1,45.51213625046687,-73.56919005212593,0,False,False,False,0
